"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
Quick Disability Determinations Model,"Law and Policy, Disability Policy",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,Used to screen initial applications to identify cases where a favorable disability determination is highly likely and medical evidence is readily available to prioritize this workload and expedite case processing. ,"QDD predictive model quickly identifies and prioritizes disability claims processing for individuals with severe, life-threatening, or life-altering conditions. This approach reduces processing times, improves access to benefits for those in urgent need, and allows the agency to allocate resources more efficiently, ultimately enhancing service delivery for the public."," System output consists of probability model scores for each separate scoring service, Scoring Service for Allowance and Scoring Service for Processing Time, and the overall QDD Score.  ",2/1/2008 0:00,a) Purchased from a vendor,IBM,Yes,eDIB (electronic disability),Model used data from disability program data sets,,Yes,,"b) Sex
c) Age                                                                                                                                                                     ",Yes,n/a,a) Yes,a) Yes,"Positive Impacts - Expedited processing of disability applications & DDS prioritization of straightforward cases resulting in faster overall processing time                                                         
Negative Impacts - false negatives, rights impacting, resource impacting  ",c) Yes – by the CAIO ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,"a) Yes; an appropriate appeal process has been established


", d) Other
Mobile Wage Reporting,"Chief Information Officer, Digital Customer Solutions ",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Computer Vision,Uses AI to extract text/data from scanned images/documents representing pay stubs or payroll information to enable faster processing.,Increased speed and accuracy,Gross pay and pay date from the paystub image,5/14/2022 0:00,c) Developed with both contracting and in-house resources,AWS,Yes,Supplemental Security Income Record Maintenance System (SSIRMS),No Agency data used for training,,Yes,,None,Yes,,,,,,,,,,
"SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse.","Chief Information Officer, Digital Customer Solutions ",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Generative AI,"The Q&A bot answers caller’s questions using approved FAQs found on SSA.GOV. Support is provided in both English and Spanish. Calls answered solely by the bot reduce the wait for other callers needing agent service. A bot will also ask questions and populate responses from the public as a record of their interaction when reporting fraud, waste and abuse.
",Improved service to the public by answering calls faster and lowering expense to handle transactions.,Returns the answer snippet content for the applicable FAQ topic that should contain the same language as if the askers were to navigate to the FAQs webpage themselves on ssa.gov.,6/5/2023 0:00,a) Purchased from a vendor,AWS,Yes,Enterprise Contact Center,"The ssa.gov FAQs webpage content is exported to be sourced by the FAQ Question & Answer bot.
SSA.gov webform to report fraud, waste and abuse.",,No,,None,No,,a) Yes,a) Yes,"Through performance forecasting the more calls that can be handled by AI versus the agents will speed up service for those callers that need agent assistance. AI handles routine questions commonly found on SSA.GOV. Further, forms can be completed by asking simple questions and populating responses via NLU allowing the agency to deploy more resources to answering calls.",,,,,,
Generative Artificial Intelligence (AI) for Analytic Insights,"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,"Generative AI model to analyze SSA's National 800 Number and Field Office call transcripts as well as Interactive Voice Response (IVR) system call logs to provide insights into caller intent, call resolution, and call topics. ","The insights help identify areas for improvement in policies and processes, leading to better customer service and reduced wait times. Ongoing analysis and monitoring support more effective system performance and enhance the overall customer experience.
",Varies by use case,9/30/2023 0:00,a) Purchased from a vendor,Microsoft / OpenAI,Yes,Provisional ATO in progress,No Agency data used for training,,Yes,,k) None of the above,No,,,,,,,,,,
PolicyNet Plain Language Search Engine,Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,"The system is designed to help users quickly find relevant information, improving efficiency and customer service. Ongoing enhancements and data analysis support more accurate and effective search results.","The system streamlines access to information for staff, enabling more efficient and accurate decision-making. This leads to improved service delivery and significant time savings, benefiting both agency operations and the public.","Intelligent search results enabled by the open-source Apache Solr search engine
Advanced Search features including tagging, auto complete, and Learning to rank, based on Upvote/downvote sentiment capture .",9/21/2024 0:00,b) Developed in-house,,Yes,21st Century PolicyNet ,Model used disability program regulations and user provided data,N/A,No,N/A,None,Yes,https://solr.apache.org/,,,,,,,,,
Speech to Text Video Transcription,"Chief Information Officer, Disability Information Systems",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Natural Language Processing (NLP),Generate transcript from recorded audio of disability hearings,"The Speech-to-Text Video Transcription solution improves efficiency and accuracy in disability hearings by auto-generating searchable transcripts, reducing manual work, and enabling faster, more informed decisions that benefit both the agency and the public.",Transcript,5/6/2024 0:00,a) Purchased from a vendor,Microsoft,Yes,Hearing Recording and Transcription,No Agency data used for training,,Yes,,None,No,,,,,,,,,,
Customer Insight Tool,"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Natural Language Processing (NLP),SSA uses a survey system to deliver and manage customer surveys. Part of the deployed system includes an AI capability for performing text analytics for identifying and tracking customer sentiments and key trends.,"The AI-powered text analytics capability within SSA’s survey system helps the agency better understand customer experiences by analyzing unstructured feedback. It outputs sentiment ratings, categorized themes, suggested actions, customer effort indicators, and translated text. These insights enable early detection of emerging trends and provide a clearer view of positive and negative drivers in customer interactions, supporting more responsive and informed service improvements for the public.","Survey analysis tool that evaluates sentiment and categorization.
Current capabilities include: 
1. Machine Translation - using algorithms to automatically translate text from one language to another
2. Sentiment Analysis - classifies text into negative, positive and neutral sentiment
3. Categorization - system-generated groupings of conceptually-related words and phrases based on phrase-level feedback
4. Suggested Actions - uncovers explicit suggestions from feedback text
5. Customer Effort - aimed to recover explicit mentions of effort in feedback text",8/1/2021 0:00,c) Developed with both contracting and in-house resources,Medallia,Yes,Customer Feedback Tool (CXFT),No Agency data used for training,,Yes,,None,No,,,,,,,,,,
Benefit and Earnings Public Use File,"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Generate high fidelity synthetic benefits and earnings data for external researches to support policy research and decision making while protecting privacy. ,Enhanced data privacy; inform policies to support data driven decision making,Synthetic microdata file aimed for public use by policy researchers,5/1/2025 0:00,b) Developed in-house,,No,,Model used data from disability program data sets,https://catalog.data.gov/dataset/benefits-data-from-the-benefits-and-earnings-public-use-file-2020,No,PIRA/PTA - OGC OPD,b) Sex,Yes,,,,,,,,,,
Therapy Chatbot - Text-Based Mental Health Support for SSA Employees,Human Resources,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Health & Medical,Generative AI,"This AI use case is a therapy chatbot that employees can access on their own personal devices and is designed to provide confidential, immediate mental health support to employees, helping address stress, emotional challenges, and limited access to traditional counseling services.","The chatbot promotes employee well-being, reduces stress, and enhances resilience, which supports a healthier workforce and improves overall agency performance and public service delivery.","The chatbot delivers real-time emotional support, personalized coping strategies, wellness recommendations, and alerts to live counselors when needed.",9/1/2023 0:00,a) Purchased from a vendor,Espyr/Acentra,No,,No Agency data used for training,,Yes,,None,No,,,,,,,,,,
Agency Support Companion (ASC) chatbot,Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,"Generative AI model to create content, summarization and research capabilities","Assist all internal users across the agency in their daily tasks related to content generation, analysis, refinement, and general research capabilities. ","Chatbot responses to users as well as management information reports for executives

Management information reports, in the form of a dashboard, for executives to track ASC usage.",4/16/2025 0:00,c) Developed with both contracting and in-house resources,Microsoft / OpenAI,No,Agency Support Companion,No Agency data used for training,,No,,None,Yes,,,,,,,,,,
Data Governance Product (DGP) -  Data cataloging and predictive analysis of data assets. ,Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,"Vendor built in AI engine for data cataloging to automates the discovery, classification, and curation of data assets. And also provides predictive insights for data asset analytics. Uses Natural Language Processing (NLP) enables non-technical stakeholders to contribute to rule creation and facilitates the conversion of plain text into regular expression.
",1. Reduced manual effort in assigning Business Terms to data assets in the Technical data catalog. 2. Reduced effort and time through generation of data quality rule code. ,Efficient data catalog search results. Plain English conversation with the users to create technical regular expression rule creation,11/1/2014 0:00,a) Purchased from a vendor,Informatica,Yes,Enterprise Data Catalog,No Agency data used for training,,No,,None,No,,,,,,,,,,
Intelligent generation of modernized code. ,Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,"The module uses AI techniques such as cluster analysis, pattern matching, templates, and programming language models to generate modernized code in a new target language.
These AI techniques enable it to perform efficient data analysis, processing, and intelligent generation of new code. AI powered approach provides structured standardized code that’s highly maintainable.


","The GenAI component accelerates legacy system modernization by automatically analyzing COBOL and other legacy code, generating consistent business requirements documentation, and performing refactoring and re-imagining to transform code into modern languages and frameworks (e.g., Java, Java Spring Boot). This capability reduces manual effort required for document creation, supports knowledge retention as subject matter experts retire, and shortens development cycles by enabling faster updates to systems that serve the public.

","Transformed legacy code into modernized language, business and technical requirement documentation.",10/1/2024 0:00,a) Purchased from a vendor,AveriSource,Yes,AveriSource Platform,Model used data from internal sources for performance and evaluation purposes,N/A,Yes,N/A,None,Yes,N/A,,,,,,,,,
Policy Assistance Tool (PAT),Chief Information Officer,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,a) High-impact,,Government Benefits Processing,Generative AI,"The system is designed to help employees quickly and easily find accurate policy information, improving efficiency and the user experience for those who need to access agency policies. 
","The system is expected to make it faster and easier for users to access accurate and up-to-date policy information. This will improve efficiency, streamline processes, and enhance service delivery, supporting the agency’s mission and benefiting the general public.","Chatbot responses to users that are grounded in SSA policy data and provide links to policy documents referenced in the response. 

Management information reports, in the form of a dashboard.",9/16/2025 0:00,c) Developed with both contracting and in-house resources,Microsoft / OpenAI,Yes,21st Century PolicyNet ,Model used data from internal sources for performance and evaluation purposes,N/A, No,N/A,None,Yes,N/A,a) Yes,a) Yes,There is the potential for the response to a prompt  to include policy content that is not relevant or omit policy content that is relevant based on the interpretation of the prompt or the ranking of identified policy content. All prompt responses include references and links to specific policy documents that provide the content for the response. All PAT users are instructed to verify all responses for accuracy by reviewing the reference policy documents.,a) Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development  , b) Development of monitoring protocols is in-progress,a) Yes; sufficient and periodic training has been established,a) Yes  ,b) Not applicable,a) Direct usability testing  
Application Observability Support,"Chief Information Officer, System Operations and Hardware Engineering",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Cybersecurity ,Classical/Predictive Machine Learning,To assist OCIO users in monitoring critical applications for performance and availability management on premises and in the cloud environment.  AI is used to create a baseline based on a weeks’ worth of data.  When the data collected significantly deviates from the baseline alerts are sent to appropriate OCIO user base.,Performance issues are addressed as soon as possible to avoid critical applications failure that would impact SSA's business processes. Incident summary produced creates an opportunity for future  risk avoidance and mitigation processes through after actions steps.,"System failure or degradation alerts, incident reports and  application trending.",4/3/2025 0:00,a) Purchased from a vendor,Dynatrace,Yes,ACI,None of our data is used to train or fine-tune this. ,N/A, No,N/A,None, No,N/A,,,,,,,,,
Coding Assistance,Chief Information Officer,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Agentic AI,"Increase developer efficiency through faster coding, time savings and cost reduction.
","Reduced task switching and maintain flow state
•	Enhanced developer experience
•	Improved developer retention
•	Improved code quality and maintainability
•	Improved customer experience
•	Reduced bugs and technical debt
•	Go to market faster",Code and analysis of code,2/1/2025 0:00,a) Purchased from a vendor,Windsurf,Yes,Windsurf,None of our data is used to train or fine-tune this. ,Not required, No,n/a,, No,It is not open source,,,,,,,,,
Mainframe code modernization assistant,Chief Information Officer,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"Increase developer efficiency through faster coding, time savings and cost reduction.
","Reduced task switching and maintain flow state
•	Enhanced developer experience
•	Improved developer retention
•	Improved code quality and maintainability
•	Improved customer experience
•	Reduced bugs and technical debt
•	Go to market faster",Code and analysis of code,,a) Purchased from a vendor,"IBM WatsonX Code Assistant
Broadcom Code for Z",,,,,,,,,,,,,,,,,,
Training Interaction Simulator,Human Resources,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,Employees do not have an avenue to practice interactions with a variety of clients/coworkers with a range of attitudes.,Users gain practice with simulated conversations and receive constructive feedback on their responses.,Responses to situational conversations and coaching on user interactions,6/3/2025 0:00,a) Purchased from a vendor,Skillsoft/Percipio, No,Percipio,None of our data is used to train or fine-tune this. ,n/a, No,n/a,None, No,n/a,,,,,,,,,
Vocational Assessment Assistant Tool  (VAAT),"Chief Information Officer, Disability Information Systems",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Generative AI,"The AI is intended to address the problem of a manual, time-consuming, and expertise-dependent process for researching job codes and analyzing transferable skills, which can result in inconsistent outcomes among different examiners and offices.","The expected benefits of the AI include streamlining and speeding up vocational analysis, increasing consistency and standardization in decision-making, improving the quality and reliability of determinations, and allowing staff to dedicate more time to complex case analysis rather than routine manual tasks. These outcomes support the agency’s mission and benefit the general public by promoting more efficient and equitable service delivery.",The AI system produces recommendations for key evaluation steps and provides structured explanations to support vocational decisions.,9/30/2025 0:00,c) Developed with both contracting and in-house resources,Microsoft / OpenAI,Yes,eDIB Cloud,"The AI system uses commercially available foundation models that were pre-trained on publicly available data. For its specific use case, the system incorporates publicly sourced occupational databases and agency policy documents to support job matching and ensure alignment with relevant guidelines. No custom training or fine-tuning was performed by the agency.",N/A - The source data used for RAG is publicly available but not originated by SSA:, No,not publicly available,"c) Age
I) Other",Yes,Not open source - Code is proprietary SSA internal development and not publicly released.,a) Yes,a) Yes,"The potential impacts of using the AI include increased operational efficiency, greater consistency and accuracy in decision-making, and enhanced support for examiners. These positive outcomes were identified through studies, pilot program data, and user feedback. Potential negative impacts include the risk of incorrect determinations (either denying or awarding benefits in error) and possible processing delays if the system is unavailable.",a) Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development  ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,b) Not applicable,a) Direct usability testing  
Digital Identity Verification Services,"Chief Information Officer, Digital Customer Solutions ",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Cybersecurity ,Computer Vision,"The AI is intended to solve the problem of securely verifying and authenticating individuals’ identities online, ensuring that users can prove and share their identity safely for digital services.","The expected benefits of the AI include reducing identity theft and fraud, ensuring compliance with security standards, increasing operational efficiency by minimizing manual reviews, enabling users to access multiple services with a single verification, and improving access for underserved populations through alternative verification methods.","The AI system produces verification results, risk indicators for suspicious activity, authentication logs, real-time fraud alerts, user analytics, and compliance reports to support audits and regulatory needs.",6/5/2020 0:00,a) Purchased from a vendor,ID.me,Yes,Digital Identity,No SSA data is used to train the model,N/A, No,https://www.ssa.gov/privacy/pia/e-Auth%20PIA%20May%2031%202011.htm,None, No,,a) Yes,a) Yes,"The potential impacts of using the AI include the risk of unauthorized access if fraudulent actors are not properly identified, and the risk of legitimate users being denied access if they cannot verify their identity. These impacts are common to all digital identity systems and are identified through digital identity risk assessments, as required by relevant guidance.",a) Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development  ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,d) Law; operational limitations; or governmentwide guidance precludes an opportunity for an individual to appeal, b) General solicitations of feedback and comments from the public 
Enterprise Ticketing System (ETS),Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Other ,This AI use case consolidates searching capabilities across multiple applications and portals to help employees find and locate the appropriate form to submit a request or problem they may have.,The use care reduces the time and complexity involved with locating request forms.,The output is a list of request forms with a link to open each form in its respective system.,9/1/2025 0:00,c) Developed with both contracting and in-house resources,"ServiceNow
AWS", No,ServiceNow,N/A,N/A, No,N/A,k) None of the above,Yes,,,,,,,,,,
