uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DHS-2362,DHS,CBP,AI to generate testable synthetic data,Pre-deployment,not-high-impact,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities. Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing. By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2375,DHS,CBP,Thermal Power Generation with Geoseismic IoI Detection and Classification,Pre-deployment,not-high-impact,Utilize seismic sensor data to determine Item of Interest in deployed locations. Increases situational awareness in austere environments and reduces need for battery replacement due to self-charging.,Law Enforcement,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-2444,DHS,CBP,API Security Vulnerability Technology,Pre-deployment,not-high-impact,"With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run thousands of custom attack scenarios against APIs on a continuous basis. This will help to identify potential security vulnerabilities prior to production level deployments, and enable the enterprise to develop essential remediations, if required. Additionally, the techonlogy is intended to provide continuous monitoring on APIs to provide real-time alerts on new potential vulnerabilities.",Admin Functions,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-2446,DHS,CBP,Cyber Threat Detection,Pre-deployment,not-high-impact,"Cyber deception is used alongside other cybersecurity measures to enhance overall security posture. Cyber deception not only enhances threat detection but also provides valuable insights into attacker behavior, aiding in the development of more effective defense strategies and minimizing the risk of successful cyberattacks. Cyber deception technology plays a crucial role in enhancing cybersecurity defenses by enabling organizations to detect threats faster and decrease attacker dwell time.",Cybersecurity,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-2447,DHS,CBP,Forced Labor Virtual Consultant,Pre-deployment,not-high-impact,"The system aims to support Customs and Border Protection (CBP) analysts by integrating internal forced labor databases with preloaded trend analysis data, enabling rapid risk identification and report generation. It complements CBP’s data science team by providing faster access to critical information, enhancing enforcement efficiency.",Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2449,DHS,CBP,Multi-media Insight Tool,Pre-deployment,not-high-impact,"The system aims to enhance CBP's ability to monitor and analyze surveillance footage from existing CBP camera technology, enabling real-time detection of anomalies, and tracking of Items of interest within the video frame. It will improve situational awareness, streamline the object and event identification process, and support faster, more accurate decision-making, ultimately enhancing security and operational efficiency. Essentially, this technology will allow users to review significant amounts of historical imagery to identify objects, scenes, and activities of interest and reduce the manual burden of searching multiple video streams.",Admin Functions,Computer Vision,,,,,,[],,,,,,,,,,[]
DHS-2452,DHS,CBP,Source Code Development Tool,Pre-deployment,not-high-impact,"The tool is designed to enhance software development efficiency by enabling end users to create, refine, and complete projects more quickly through the use of a generative artificial intelligence (AI) coding assistant. By automating portions of the coding process, the tool reduces development time, optimizes workflows, and improves overall productivity.",IT,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2540,DHS,CBP,Open Metadata,Pre-deployment,not-high-impact,"The AI uses a large language model to generate proposed descriptions for field names in our data catalog. The tool itself does not come with Generative AI, but we have built the capability to leverage generative AI for description generation and test case quality generation. Roughly 80% of our data assets in databases do not have descriptions. The use of AI to generate these descriptions would allow us to provide descriptions for our vast data assets. The quality test cases ensure that the data in our systems are accurate, correct, and consistent. These AI tools can be turned on or off.",IT,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2551,DHS,CBP,Automated Incident Creation (IT),Pre-deployment,not-high-impact,"AI will be used to drive automation via integration with ServiceNow, automatically triaging requests to determine if a ServiceNow helpdesk ticket should be created. The determination and justification will populate a field in the table that stores user contact messages, enabling validation by a business analyst before finalizing ticket creation.",Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2566,DHS,CBP,TRM Classification Tool,Pre-deployment,not-high-impact,"The system uses AI to categorize vendor product capabilities, reducing costs and improving efficiency by replacing a previous system. The classifications are integrated into the Technical Reference Model (TRM).",Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2567,DHS,CBP,FOIA processing automated redaction (RedactAI),Pre-deployment,not-high-impact,AI is being used to find content that may need to be redacted in documents related to FOIA requests and applicable FOIA exemptions. The benefits are expected to be much faster processing time for the requests as opposed to manually performing the task.,Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2569,DHS,CBP,Speech Assist Virtual Interview Assistant,Pre-deployment,not-high-impact,"To enhance operational efficiency by accelerating the processing and analysis of audio data, resulting in both reduced labor burden and compressed workflow timelines. Speech Assist will offer diarized transcriptions of conversations alongside conversation summaries and named entities extracted from audio captured for various CBP mission use cases. The output will be used to automatically draft a document for review by CBP officers and agents. Speech Assist will reduce the time required for the interpretation, and comprehension of key information from audio data, reducing the time required for transcribing audio reports.",IT,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2571,DHS,CBP,Business Automation and Improved Search Ability with AI,Pre-deployment,not-high-impact,"AI will be used to drive automation via integration with ServiceNow, automatically classifying products, suggest alternatives, validate the vendors headquarters and operations, summarize meeting notes, and improve searching capabilities.",Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2586,DHS,CBP,CodeGen,Pre-deployment,not-high-impact,"The primary purpose is to provide code generation support for CBP developers, with the anticipated benefit of significantly increasing their efficiency and productivity. By automating repetitive coding tasks and suggesting optimal solutions, this initiative aims to free up developers to focus on more complex and strategic projects, ultimately accelerating the delivery of critical work.",IT,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2587,DHS,CBP,CounselAI,Pre-deployment,not-high-impact,CounselAI will allow OCC to be more efficient and effective. The LLM uses existing work product to help identify similar legal challenges and generate successful draft language for use in litigation. The LLM will also save users time with its search and summarization features.,Law Enforcement,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2663,DHS,CBP,Border Infrastructure Center of Excellence AI (BICE AI),Pre-deployment,not-high-impact,"The intended purpose of the BICE AI is to automate the generation of precise legal descriptions from geospatial data. It's designed to act as an expert assistant for real estate professionals. The expected benefits are increased efficiency, accuracy, and compliance in creating legal documentation. By automating this process, the system frees up specialists to focus on higher-value tasks, reducing the reliance on manual drafting and review by subject matter experts.",Procurement and Finance Mgmt,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-311,DHS,CBP,Integrated Defense and Security Solutions (IDSS),Pre-deployment,not-high-impact,The system improves the screening efficiency and accuracy of contraband detection in international express consignment and mail inspection.,Law Enforcement,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-2572,DHS,CBP,Acoustic Signature AI for Gunshot Detection,Pilot,declassified,"Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, as well as a pinpointed GPS location within 3-meters.",Law Enforcement,Classical ML,Invariant Corporation,Vendor Purchased,,2025-09-08 00:00:00,No,[],"This system detects sounds that are associated with sounds of gunfire. Only events classified as High Confidence are then sent to users as a detection. Users then review the audio of the event to determine the accuracy of the detection and to review the location of the detection on an associated map. If the audio review is deemed relevant by agent and/or system users, agents may be sent to investigate further and the message is sent to field personnel of potential gunshot activity. It may be warning of activity south of the border where notifications made enhance safety of officers/agents in the region. Any further actions taken will be based on what the agents encounter when they arrive on scene. The AI associated with this system is not a principle basis for a decision or action.",,,,,,,,,[]
DHS-2729,DHS,CBP,Facial Recognition for National Security and Transnational Criminal Organizations,Pilot,declassified,"The intended purpose of this facial recognition technology is to assist USBP agents in addressing the challenges of identifying individuals who may be linked to national security threats or transnational criminal organizations. This capability enhances USBP's ability to develop investigative leads in cases where traditional identification methods are unavailable or insufficient. The benefits include improved efficiency in generating leads, enhanced support for national security and criminal investigations, and the ability to address complex threats more effectively.",Law Enforcement,Computer Vision,Clearview AI,Vendor Purchased,,2025-10-09 00:00:00,Yes,[],"The AI utilizes publicly available images and performs a comparative search against other open-source images to identify potential matches. Results produced by the AI can only be utilized for investigative leads and cannot be utilized as a determining factor for any enforcement action by CBP personnel. Therefore, in instances where the AI outputs assist in identifying leads, CBP personnel must then use internal CBP or USG data prior to making any law enforcement decisions or actions. The outputs of the AI do not serve as the principal basis for a high-impact decision or action.",,,,,,,,,[]
DHS-163,DHS,CBP,Non-Intrusive Inspection (NII) 3D Imaging Tool,Pilot,not-high-impact,"Utilizes AI/ML to generate high resolution, rapid imaging of objects behind occlusions; create 3D images for existing processes without significant slowdowns; and provide a novel narcotics detection capability for the inspection of packages.",Law Enforcement,Computer Vision,ThruWave,Contracting and In House,,2025-04-01 00:00:00,No,[],,,,,,,,,,[]
DHS-185,DHS,CBP,Babel,Deployed,high-impact,CBP uses this tool to conduct targeted queries to aid CBP in open source research to monitor potential threats or dangers or identify travelers who may be subject to further inspection for violation of laws CBP is authorized to enforce or administer.,Law Enforcement,NLP,Babel Street,Contracting and In House,,2023-08-29 00:00:00,Yes,[],,In-progress,Yes,"Potential for inaccurate translation or translation missing context due to local variant dialects or slang that are not captured by the vendor which can be mitigated through coordination with CBP employees who are from that country/area, foreign language certified, and can be consulted for clarification.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process Established,['Other']
DHS-2380,DHS,CBP,Passive Body Scanner,Deployed,high-impact,PBS is intended to enhance situational awareness in pedestrian traveler processing to aid CBP officers in observing potentially dangerous objects or contraband in a timely manner and pursuant to CBP’s border search authority.,Law Enforcement,Computer Vision,ThruVision TAC 16,Contracting and In House,,2023-09-29 00:00:00,No,[],,In-progress,Yes,"Negligible impacts to traveler safety - PBS uses passive means (thermal imaging, no radiation emitted) to “look’ for contraband or weapons on a traveler. If the PBS operator sees a weapon (either with or without the PBS), they will seek supervisor approval to conduct a pat down and initiate a secondary referral. If they see contraband, they may direct the traveler to stop and notify a supervisor, who will decide if the image or other factors meet the threshold to conduct a pat down.",In-progress,In-progress,Training In-progress,In-progress,Not Applicable,['Other']
DHS-2388,DHS,CBP,CBP Translate,Deployed,high-impact,"CBP Translate enhances efficiency by expediting questioning when immediate interpretation is needed. It ensures clear communication, minimizes misunderstandings, and offers immediate accessibility via mobile and web platforms. This improves operational flexibility and creates a smoother experience for travelers.",Law Enforcement,NLP,"Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT",Contracting and In House,,2019-08-07 00:00:00,Yes,[],,In-progress,Yes,"The key risks would be the programs inability to accurately translate what was spoken by both sides of the conversation, leading to significant delays in emergency response situations when trying to leverage traditional phone based translation services in areas with limited cell phone reception. Inaccuracy may also lead to longer processing times at Ports of Entry. These were identified via feedback from the end-users and a common understanding regarding LLM language translation models.",In-progress,In-progress,Training Established,Not Applicable,Not Applicable,['Usability Testing']
DHS-2389,DHS,CBP,Passenger Security Assessment Model,Deployed,high-impact,"This model is designed to support CBP personnel in quickly recognizing crossings that may warrant additional scrutiny, thereby enhancing border security and safety.",Law Enforcement,Classical ML,,In-house Development,,2013-04-01 00:00:00,Yes,"['b) Sex', 'c) Age']",,Yes,Yes,"Risks include false positives and negatives, which could result in delays for travelers, failure to detect narcotics smuggling, or missed detections; algorithmic bias may disproportionately target certain types of travelers and crossing behaviors (related to model training using historical seizures); and ongoing challenge of traffickers adapting their methods to evade detection. These risks have been identified through research, real-world applications, and expert analyses.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Other']
DHS-2390,DHS,CBP,Cargo Security Assessment Model,Deployed,high-impact,"AI/ML Models identify high risk shipments to aid CBP officers in detecting narcotics smuggling threats, identifying candidate shipments for review and referral for inspection at CBP Ports of Entry (POEs).",Law Enforcement,Classical ML,,In-house Development,,2011-12-01 00:00:00,Yes,[],,Yes,Yes,"Risks include false positives and negatives, which could lead to unnecessary inspections or missed detections; bias in algorithms that may disproportionately target certain importers; and ongoing challenge of traffickers adapting their methods to evade detection. These risks have been identified through research, real-world applications, and expert analyses.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Precluded by Law,['Other']
DHS-2391,DHS,CBP,Illicit Trade,Deployed,high-impact,The model identifies high-risk shipments to support CBP personnel in managing their workload associated with detecting threats and selecting candidate shipments for review and additional screening.,Law Enforcement,Classical ML,,In-house Development,,2023-07-25 00:00:00,Yes,[],,Yes,Yes,"Risks include false positives and negatives, which could lead to unnecessary inspections or missed detections; and bias in algorithms that may disproportionally target certain importers. These risks have been identified through research, real-world applications, and expert analyses.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Other']
DHS-2412,DHS,CBP,Supervised Traveler Identity Verification Services (Officer Initiated),Deployed,high-impact,"The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification",Law Enforcement,Computer Vision,"CBP procured mobile devices (Apple, Samsung) commercial off the shelf cameras (Logitech)",Contracting and In House,,2017-09-01 00:00:00,Yes,[],,Yes,Yes,"The key risk is the degradation of the TVS verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,"['a) Direct usability testing', 'b) General solicitations of feedback and comments from the public']"
DHS-2413,DHS,CBP,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),Deployed,high-impact,"The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification.",Law Enforcement,Computer Vision,NEC,Contracting and In House,,2024-02-01 00:00:00,Yes,[],,Yes,Yes,"The key risk is the degradation of the TVS verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,"['a) Direct usability testing', 'b) General solicitations of feedback and comments from the public']"
DHS-2414,DHS,CBP,3rd Party Traveler Identity Verification Services,Deployed,high-impact,"TVS is a cloud-based facial biometric matching service that enables CBP, External Partners, and Other Government Agencies (OGA) to match a passenger’s identity against a trusted source, throughout the travel continuum, which improves traveler facilitation and reduces manual identity verification.",Law Enforcement,Computer Vision,NEC,Contracting and In House,,2017-05-01 00:00:00,Yes,[],,Yes,Yes,"The key risk is the degradation of the TVS verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,"['a) Direct usability testing', 'b) General solicitations of feedback and comments from the public']"
DHS-2415,DHS,CBP,Traveler Self-Service Mobile Identity Verification,Deployed,high-impact,"The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification",Law Enforcement,Computer Vision,NEC (algorithm only),Contracting and In House,,2022-01-01 00:00:00,Yes,[],,Yes,Yes,"The key risk is the degradation of the TVS verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Process Established,['Public Feedback Solicitations']
DHS-2416,DHS,CBP,Traveler Identity Verification Services (Vetting),Deployed,high-impact,CBP's Traveler Identity Verification Services (Vetting) utilizes facial recognition technology to enhance threat identification by matching travelers' biometrics against records of concern.,Law Enforcement,Computer Vision,NEC,Contracting and In House,,2018-12-01 00:00:00,Yes,[],,Yes,Yes,"The key risk is the degradation of the TVS verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Usability Testing']
DHS-2538,DHS,CBP,Open Source and Social Media Analysis,Deployed,high-impact,CBP uses this tool to conduct targeted queries to aid CBP in open-source research to monitor potential threats or dangers or identify travelers who may be subject to further inspection for violation of laws CBP is authorized to enforce or administer.,Law Enforcement,NLP,NexisXplore,Vendor Purchased,,2025-01-01 00:00:00,No,[],,In-progress,In-progress,AI could potentially mis-label an object however all results are reviewed by a law enforcement officer and OSINT results are only one section of data among many when reviewing admissibility.,In-progress,In-progress,Training In-progress,Not Applicable,Appeal Process Established,['In-progress']
DHS-2561,DHS,CBP,Cryptocurrency Analysis,Deployed,high-impact,Quicker identification of risks related to cryptocurrency accounts to aid in addressing potential admissibility concerns (in lieu of completely manual research of the same accounts).,Law Enforcement,Classical ML,TRM Labs,Vendor Purchased,,2025-01-01 00:00:00,No,[],,In-progress,In-progress,Identification of US Government crypto wallets that are being utilized for criminal investigations which are participating in transactions on illicit marketplaces.,In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DHS-2570,DHS,CBP,Traffic Jam,Deployed,high-impact,"Traffic Jam leverages AI for facial recognition purposes and to draw together similar data points from a large pool of data in support of human trafficking and exploitation investigations. Manually combing through available data takes an extensive amount of time and resources, with often less than desirable outcomes. The AI solution in Traffic Jam is able to quickly identify the most relevant information and possible matching for immediate review, allowing officers and analysts to focus limited time in a high-tempo operational environment in the most effective manner possible.",Law Enforcement,Computer Vision,Marinus Analytics,Vendor Purchased,,2025-09-29 00:00:00,Yes,[],,In-progress,Yes,"Using Traffic Jam or similar commercial facial recognition vendors introduces additional privacy and civil liberties risks, particularly around data control, transparency, and accountability. Mitigation steps are taken as outlined in the Privacy Impact Assessment to minimize or eliminate the impacts of using artificial intelligence.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process Established,['Other']
DHS-2619,DHS,CBP,CBP Link,Deployed,high-impact,"CBP Link uses liveness detection and TVS uses facial recognition to compare live or uploaded images with CBP's database, enabling real-time identity verification. This automation streamlines border processes, enhances accuracy, and reduces fraud.",Law Enforcement,Computer Vision,IProov,Contracting and In House,,2025-06-16 00:00:00,Yes,[],,Yes,Yes,"False negative facial match or liveness detection - potential impact of a user not being able to provide proof of departure. As an alternative, the user can provide proof of departure utilizing any of the means as described here: https://i94.cbp.dhs.gov/home",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Usability Testing']
DHS-2669,DHS,CBP,Land Border Integration,Deployed,high-impact,"The intended purpose of the Land Border Integration system is to enhance the efficiency and accuracy of data processing during vehicle inspections at land-border Ports of Entry (PoEs). By leveraging artificial intelligence (AI) technologies, the system captures and interprets visual data, including license plate information, vehicle classification (make, model, and color), and occupant identification through facial recognition, in real time. This edge-based AI solution supports situational awareness and operational decision-making by providing timely and actionable insights to officers. It minimizes reliance on centralized systems, streamlines the vetting process, and reduces the need for manual data entry, enabling officers to focus on critical tasks. The system improves operational effectiveness, enhances border security, and facilitates efficient traveler processing.",Law Enforcement,Computer Vision,Rekor,Vendor Purchased,,2021-04-12 00:00:00,Yes,[],,Yes,Yes,Potential impact to an individual or entity's civil liberties or privacy.,Oversight Board Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Other']
DHS-2731,DHS,CBP,Mobile Fortify,Deployed,high-impact,"Utilizing facial comparison or fingerprint matching services, agents/officers in the field are able to quickly verify identity utilizing trusted source photos.",Law Enforcement,Computer Vision,NEC,Vendor Purchased,,2025-05-01 00:00:00,Yes,[],,In-progress,Yes,"The key risk is the degradation of CBP's facial comparison verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",In-progress,Yes - Monitoring Established,Training Established,Yes,Not Applicable,"['a) Direct usability testing', 'd) Other']"
