agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DHS,Department of Homeland Security,DHS-2565,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","This use case is not yet live in production, and the current ATT only covers for within the CCAIS platform.  The use case needs further review, prior to the ATT for ICAD integration.  The model can identify people, animals, and vehicles as well as extract license plate information, and we will need to determine how exactly the extracted information will be used for operations if it is determined to be feasible.  The AI inventory team will need to review once the AI Use Case is fully defined.",Law Enforcement,Generative AI,Reduces the amount of time agents needs to spend analyzing imagery but automatically flagging images for review.,"The AI’s intended purpose is to solve the challenge of efficiently monitoring typically unoccupied or restricted environments for unauthorized human or vehicle presence. It automates the initial detection of such activities, which can be resource-intensive and prone to delays when done manually. The expected benefits include enhanced security of sensitive areas, increased operational efficiency through automation, and the ability to scale oversight and respond more effectively to potential incidents, and better protection of public assets, sensitive environments, and critical infrastructure, alongside more efficient use of public resources in security operations.",The AI System outputs image analysis of what is in the image.  It can Identify vehicles and determine the type and license plate number. It can identify if people are present and if they are armed.  It can identify environment and conditions. The output is providing through bounding boxes around items of interest within the image and through textual descriptions.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2568,Non-intrusive vessel and object detection tool (Tethered Aerostat Radar System (TARS)),CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","The AI will analyze images from the sensors to determine what the item is in the image (e.g. Vessel).  The image location will also be correlated with any publicly available AIS (Automated Identified System) data for maritime traffic. AIS is used as a filtering mechanism in most cases to filter out legitimate traffic.  User is provided with information for detected objects lacking AIS signal. After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place. This use of AI does not serve as the principal basis for decisions or actions.",Law Enforcement,Computer Vision,"Detect, identify and classify vessels and objects in the maritime environment",Utilizing AI to automate maritime object detection with real-time outputs to streamline data flows intended to increase efficiency of existing resources and minimize mission critical decision-making timeline.,"The AI will analyze images from the sensors to determine what the item is in the image (e.g. Vessel).  The image location will also be correlated with any publicly available AIS (Automated Identified System) data for maritime traffic. AIS is used as a filtering mechanism in most cases to filter out legitimate traffic.  User is provided with information for detected objects lacking AIS signal. After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place. This use of AI does not serve as the principal basis for decisions or actions.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-317,RAPTOR (Rapid Tactical Operations Reconnaissance),CBP,ai@hq.dhs.gov,,Pre-deployment,"Presumed High-Impact, but Not High-impact","The AI system processes data from radar, infrared sensors, and video surveillance to detect and track suspicious activities along U.S. borders. By incorporating AI-powered vessel registration, aircraft tail number, license plate, and object detection RAPTOR significantly boosts domain awareness. If the OCR can capture vessel or license plate information, that information is run through CBP Super Query and if derogatory information is returned or other information from the imagery (high number of gas cans in the image) the information is sent through SMS or email to the field for response to the potential activity. Agents log into RAPTOR and reviews for accuracy/validity of image to avoid any investigation of the wrong boat.  Neither the AI or output of AI serves as a principal basis for a decision or action. Human review takes place prior to any final decision to act, and then personal interaction leads to any follow-up decisions.",Law Enforcement,Computer Vision,"Provide Tactical Domain Awareness for CBP Agents, making law enforcement efforts more efficient.","RAPTOR will significantly increase domain awareness and the agency’s ability to engage in intelligence-driven operations.  The AI capability acts as a force multiplier and saves personnel from analyzing video feed from a stationary camera and manually noting all boat identifiers, improving their ability to respond quickly to potential threats and gather critical intelligence for law enforcement and border control operations.",Text transcription of vessel registration/documentation data and photographs of the vessel.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2362,AI to generate testable synthetic data,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,Improve integration with trade partners and reduce implementation time of new capabilties.,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2375,Thermal Power Generation with Geoseismic IoI Detection and Classification,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Law Enforcement,Classical ML,"Overcomes the following problems: 1) the cost of replacement batteries, 2) the time it takes agents to constantly replace batteries, and 3) the problem of revealing the UGS location when replacing the batteries.",Utilize seismic sensor data to determine Item of Interest in deployed locations. Increases situational awareness in austere environments and reduces need for battery replacement due to self-charging.,Alert with the classification and confidence interval for the Item of Interest (IoI).,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2444,API Security Vulnerability Technology,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Classical ML,"Discover, ingest, and analyze APIs to create and run thousands of custom attack scenarios against every build prior to production. Catch security vulnerabilities as early in the software development life cycle (SDLC) as possible. Educate and empower security and dev teams on sound API security strategies.","With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run thousands of custom attack scenarios against APIs on a continuous basis. This will help to identify potential security vulnerabilities prior to production level deployments, and enable the enterprise to develop essential remediations, if required.  Additionally, the techonlogy is intended to provide continuous monitoring on APIs to provide real-time alerts on new potential vulnerabilities.","The AI system is intended to output custom reports on identified vulnerabilities within application programing interfaces (APIs). These reports will Include the identified risk and a summary of the risk, as well as tailored remediation guidance based on the applications, environment, data, and tests conducted for end-users.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2446,Cyber Threat Detection,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Cybersecurity,Classical ML,"Cyber deception is a proactive cybersecurity strategy that involves creating a network of deceptive elements, such as decoys to mislead and divert potential attackers. By strategically deploying these deceptive artifacts across an organization’s network, cyber deception aims to confuse attackers and delay their progress.","Cyber deception is used alongside other cybersecurity measures to enhance overall security posture. Cyber deception not only enhances threat detection but also provides valuable insights into attacker behavior, aiding in the development of more effective defense strategies and minimizing the risk of successful cyberattacks. Cyber deception technology plays a crucial role in enhancing cybersecurity defenses by enabling organizations to detect threats faster and decrease attacker dwell time.","When attackers engage with the deceptions, they reveal their presence and tactics, allowing security teams to detect, analyze, and respond to threats in real time. This proactive approach not only reduces the time attackers spend within the network but also provides valuable insights into their tactics, techniques, and procedures (TTPs).",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2447,Forced Labor Virtual Consultant,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,Customs and Border Protection (CBP) enforces U.S. laws against importing goods made with forced labor by analyzing extensive data and addressing complex global supply chains. CBP aims to leverage advanced tools to protect U.S. economic security and uphold its leadership in combating forced labor.,"The system aims to support Customs and Border Protection (CBP) analysts by integrating internal forced labor databases with preloaded trend analysis data, enabling rapid risk identification and report generation. It complements CBP’s data science team by providing faster access to critical information, enhancing enforcement efficiency.","Plain-language reports, analysis, direct LLM response to user queries.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2449,Multi-media Insight Tool,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Computer Vision,"The AI system solves the challenge of analyzing large volumes of surveillance footage and audio data efficiently. It enables Customs and Border Protection (CBP) to conduct real-time searches for objects, sounds, language, and events, detect anomalies, and track items of interest across multiple video streams concurrently. By providing outputs like real-time alerts and visual annotations, the system enhances situational awareness, streamlines investigations, and supports faster decision-making to improve border security and operational efficiency.","The system aims to enhance CBP's ability to monitor and analyze surveillance footage from existing CBP camera technology, enabling real-time detection of anomalies, and tracking of Items of interest within the video frame. It will improve situational awareness, streamline the object and event identification process, and support faster, more accurate decision-making, ultimately enhancing security and operational efficiency.  Essentially, this technology will allow users to review significant amounts of historical imagery to identify objects, scenes, and activities of interest and reduce the manual burden of searching multiple video streams.","Outputs include real-time alerts on activities that should be watched, visual annotation to identify items of interest.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2452,Source Code Development Tool,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,IT,Generative AI,"The tool uses generative artificial intelligence (GenAI) powered by large language models (LLMs) and coding foundation models to assist with software development. The AI serves as a coding assistant, allowing users to create, refine, and complete software projects through natural language commands and queries. It generates functional software code, streamlining the development process, reducing manual effort, and improving efficiency.","The tool is designed to enhance software development efficiency by enabling end users to create, refine, and complete projects more quickly through the use of a generative artificial intelligence (AI) coding assistant. By automating portions of the coding process, the tool reduces development time, optimizes workflows, and improves overall productivity.","The tool generates functional software code for end users, enabling them to efficiently develop, refine, and complete projects with minimal manual effort, delivering high-quality code outputs tailored to user prompts and project requirements.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2540,Open Metadata,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,IT,Generative AI,Metadata catalog identification.,"The AI uses a large language model to generate proposed descriptions for field names in our data catalog. The tool itself does not come with Generative AI, but we have built the capability to leverage generative AI for description generation and test case quality generation. Roughly 80% of our data assets in databases do not have descriptions. The use of AI to generate these descriptions would allow us to provide descriptions for our vast data assets. The quality test cases ensure that the data in our systems are accurate, correct, and consistent. These AI tools can be turned on or off.",Proposed descriptions for database field names and generation for quality test cases.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2551,Automated Incident Creation (IT),CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,"The AI is intended to reduce the time and effort required of a business analyst to manually review contact messages submitted to the Business Connection (BC) and Technical Reference Model (TRM) teams. By evaluating these messages, the AI will determine whether a ServiceNow helpdesk ticket is needed to resolve the submitted question or concern. This automation will streamline the process and ensure timely resolution of user issues.","AI will be used to drive automation via integration with ServiceNow, automatically triaging requests to determine if a ServiceNow helpdesk ticket should be created. The determination and justification will populate a field in the table that stores user contact messages, enabling validation by a business analyst before finalizing ticket creation.","Responds with a Yes/No determination and a justification of the determination, which is stored in the contact message table for validation by a business analyst.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2566,TRM Classification Tool,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,"The system uses Gemini 1.5 to perform multi-label classifications, including product categorization, subclassification, and reasoning for the classification outputs, replacing an existing platform to reduce costs and improve efficiency.","The system uses AI to categorize vendor product capabilities, reducing costs and improving efficiency by replacing a previous system. The classifications are integrated into the Technical Reference Model (TRM).","Multi-label output of vendor product classifications, subclassifications, using reasoning for its classification output.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2567,FOIA processing automated redaction (RedactAI),CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,"This use case leverages AI technology to streamline the identification and redaction of sensitive content in documents related to FOIA requests. Using Vertex AI and other GCP services, the system identifies and categorizes content that may require redaction based on specific controls. This automation is expected to significantly reduce processing times compared to manual redaction, enhancing efficiency in handling FOIA requests. The system provides recommendations for content to be redacted. Users are required to review and manually approved the suggested redactions based on the appropriate FOIA exemptions.",AI is being used to find content that may need to be redacted in documents related to FOIA requests and applicable FOIA exemptions. The benefits are expected to be much faster processing time for the requests as opposed to manually performing the task.,Output is recommendation of content to be redacted. Users are required to review and manually approve the suggested redactions based on the appropriate FOIA exemptions.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2569,Speech Assist Virtual Interview Assistant,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,IT,Generative AI,"Accurate audio processing automation and draft transcription generation to reduce the manual labor intensive associated with transcribing audio interviews and reports, while ensuring Officer-vetted accuracy and nuance.","To enhance operational efficiency by accelerating the processing and analysis of audio data, resulting in both reduced labor burden and compressed workflow timelines. Speech Assist will offer diarized transcriptions of conversations alongside conversation summaries and named entities extracted from audio captured for various CBP mission use cases. The output will be used to automatically draft a document for review by CBP officers and agents. Speech Assist will reduce the time required for the interpretation, and comprehension of key information from audio data, reducing the time required for transcribing audio reports.","The AI system will provide original audio clips alongside feature-rich output reports that include diarized transcriptions, transcript summaries, speaker summaries, and named entities extracted from the audio clips. The diarized transcript will consist of audio segments from the audio clip containing the start and end time of the audio segment, a unique label for the speaker (e.g., Speaker A, Speaker B, etc.), their verbatim speech in the original language. The output is provided as a highly structured nested JSON containing free text that is then used to automatically generate a draft transcription for review.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2571,Business Automation and Improved Search Ability with AI,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,The Business Connection (BC ) and Technical Reference Model (TRM) teams have identified areas in which business automation can accelerate use for both business analysts in making determinations and improving the ability of end-users to search for the information that they need more quickly.,"AI will be used to drive automation via integration with ServiceNow, automatically classifying products, suggest alternatives, validate the vendors headquarters and operations, summarize meeting notes, and improve searching capabilities.","The AI will output a potential product classification and sub-classification that would best fit the product within the TRM and BC.  The vendor vetting feature will output the headquarters of a vendor and a summary of its operations, and a summarization of meeting notes. Searching will output a list of relevant products from a database in ServiceNow.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2586,CodeGen,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,IT,Generative AI,Workforce enablement of AI developers.,"The primary purpose is to provide code generation support for CBP developers, with the anticipated benefit of significantly increasing their efficiency and productivity. By automating repetitive coding tasks and suggesting optimal solutions, this initiative aims to free up developers to focus on more complex and strategic projects, ultimately accelerating the delivery of critical work.","The system's output consists of generated code snippets and/or textual explanations and suggestions related to code development. This output is designed to assist developers in writing, understanding, and debugging code more effectively.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2587,CounselAI,CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Law Enforcement,Generative AI,"CounselAI will minimize the manual replication of work product, strengthen CBP’s ability to provide consistent responses across the agency’s sizable litigation portfolio, and enable OCC to better defend against legal challenges.",CounselAI will allow OCC to be more efficient and effective. The LLM uses existing work product to help identify similar legal challenges and generate successful draft language for use in litigation. The LLM will also save users time with its search and summarization features.,"CounselAI will answer user questions and generate content. The AI output is in chat format, answering user questions about the “knowledgebase” of data. The AI output will also include LLM generated content, such as draft responses and documents to be used in litigation.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2663,Border Infrastructure Center of Excellence AI (BICE AI),CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Procurement and Finance Mgmt,Generative AI,"The BICE AI system automates the creation of precise legal descriptions, parcel reports, and boundary maps from geospatial data, reducing manual effort, errors, and time. By leveraging generative AI, it ensures accuracy, compliance, and efficiency, enabling real estate professionals to focus on higher-value tasks and strategic decision-making.","The intended purpose of the BICE AI is to automate the generation of precise legal descriptions from geospatial data. It's designed to act as an expert assistant for real estate professionals. The expected benefits are increased efficiency, accuracy, and compliance in creating legal documentation. By automating this process, the system frees up specialists to focus on higher-value tasks, reducing the reliance on manual drafting and review by subject matter experts.","The BICE AI system simplifies documentation and planning tasks for real estate professionals by generating several valuable outputs. Its primary feature is the creation of professional-grade legal descriptions, which convert geospatial data—such as coordinates and bearings—into detailed, accurate text in a natural-language format suitable for legal use. This ensures precision and compliance in property documentation. The system also produces parcel intelligence reports, summarizing ownership details, parcel IDs, and property boundaries by analyzing user-defined areas alongside existing parcel data. These reports help professionals quickly understand property ownership and identify adjacent or impacted parcels.

In addition, BICE AI generates metes and bounds maps, offering visual representations of property boundaries that include bearing and distance information. These maps can be exported as image files (e.g., PDF or PNG) for easy inclusion in deeds, permits, and other legal documents. The system also provides domain-specific summaries, delivering tailored insights for specific needs, such as parcel acquisition justifications or property encumbrance reports. These outputs enable real estate professionals to make informed decisions efficiently, enhancing their ability to manage property-related tasks effectively.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-311,Integrated Defense and Security Solutions (IDSS),CBP,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Law Enforcement,Classical ML,This system provides assistance in detecting high-risk parcels in the international commerce space,The system improves the screening efficiency and accuracy of contraband detection in international express consignment and mail inspection.,"The system provides a segmented image, highlighting anamolies for further inspection by CBP personnel.",,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2572,Acoustic Signature AI for Gunshot Detection,CBP,ai@hq.dhs.gov,,Pilot,"Presumed High-Impact, but Not High-impact","This system detects sounds that are associated with sounds of gunfire. Only events classified as High Confidence are then sent to users as a detection. Users then review the audio of the event to determine the accuracy of the detection and to review the location of the detection on an associated map. If the audio review is deemed relevant by agent and/or system users, agents may be sent to investigate further and the message is sent to field personnel of potential gunshot activity. It may be warning of activity south of the border where notifications made enhance safety of officers/agents in the region.  Any further actions taken will be based on what the agents encounter when they arrive on scene. The AI associated with this system is not a principle basis for a decision or action.",Law Enforcement,Classical ML,The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface.,"Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, as well as a pinpointed GPS location within 3-meters.","Agents will get a real time notification via text with a link to the location on maps as well as a link to an audio clip recording of the event. With Agent confirmation that the event was correctly identified, the AI utilizes all of the information for future cases. This real time notification grants Agents the ability to know what is happening right now and anticipate what might happen next in their environment.  Increasing agent and officer safety in the geographic region.",2025-09-08 00:00:00,Vendor Purchased,Invariant Corporation,No,,Initial training was conducted by the vendor using vendor obtained audio.  Additional data was captured during deployments with other customers for further refinement.,,No,,[],No,,,,,,,,,,[]
