Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency�s mission and/or the general public?,Describe the AI system�s outputs.,Date when AI use case became operational or the pilot�s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case�s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.","Has pre-deployment testing been conducted for this AI use case?
Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case?
Practice: Complete AI Impact Assessment","What are the potential impacts of using the AI for this particular use case and how were they identified?
Subpractice: Complete AI Impact Assessment","Has as independent review of the AI use case been conducted?
Sub practice Complete AI Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?
Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?
Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?
Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system�s outcome?
Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Practice: Consult and Incorporate Feedback from End Users and the Public"
"Child Welfare Information Automated Inquiry System
(Note: previously named ""Child Welfare Information Gateway OneReach Application"")",HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Natural Language Processing (NLP),"How can Child Welfare Information Hotline callers get the right information faster without increasing staffing?
The Children's Bureau runs the Children Welfare Information Gateway, a connection to trusted resources on the child welfare continuum. The Information Gateway has a hotline for answering questions or requesting information: https://www.childwelfare.gov/stay-connected/contact/. Callers to the hotline range from those having more routine questions (such as asking for the contact information for their state's child welfare agency) to reporting more complex, nuanced situations. ","Approximately a quarter of inquires to the Child Welfare Information Hotline are assisted by AI, freeing up time for staff to focus on more complex, nuanced cases. In the first 4 years, this amounts to ~2,500 inquiries assisted by AI.
","The Information Gateway Hotline connects to a phone interactive voice response (IVR). The Information Gateway hotline maintains a database of state hotlines for reporting child abuse and neglect that it can connect a caller to based on their inbound phone area code. Additionally, the Information Gateway Hotline offers a limited FAQ texting service that utilizes natural language processing to answer user queries. ",Mar-20,a)�Purchased from a vendor,"Amazon Connect (current)
OneReach (previous, deprecated)", No,Child Welfare Information Automated Inquiry System,User queries are used for reinforcement training by a human AI trainer and to develop additional FAQs.,N/A,Yes,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Collective Bargaining Compass,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,"How can the HHS-NTEU collective bargaining agreement be more easily referenced?
The HHS NTEU Collective Bargaining Agreement and associated rules are over 400 pages long, covering numerous topics related to employer-labor relations.","Faster fact-finding on the HHS-NTEU collective bargaining agreement.
Rather than searching for relevant passages through keyword matching, people can ask their questions in natural language.","Suggested answer to a question, with thought process and links to relevant section of official document(s).
The Collective Bargaining Compass provides a secure Virtual Assistant interface permissioned only to select ACF managers. Users type in questions about managing employees covered by the Collective Bargaining Agreement, and the Virtual Assistant provides a narrative of its �thought process� then suggests an answer based in the documentation, alongside links that take the user to the relevant section of the official document.",Feb-24,a)�Purchased from a vendor,Palantir,Yes,ACF Discover,"RAG implementation using commercially-available LLMs and the latest HHS/NTEU collective bargaining agreement, plus any relevant procedures and follow-on memoranda.",N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above,Yes,N/A,,,,,,,,,
Discover User Assistant,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,"How can ACF Discover users better understand how to use the platform?
ACF Discover is a relatively new platform designed to streamline various analyses and data maintenance responsibilities of ACF Executive Officers and other ACF administrative and management staff. When launched, ACF Discover users were trained with instructional documentation. However, some users still find it difficult to understand the different software modules and how to use them. ","Easier navigation of the ACF Discover Staff Management platform
Rather than searching for relevant passages through keyword matching, people can ask their questions in natural language.","Suggested answer to question, with thought process and links to relevant section of official document(s).
The User Documentation Assistant provides a secure virtual assistant interface that is only available to ACF Discover Users. Users are able to ask the assistant specific questions about the capabilities of ACF Discover along with how to leverage tools and applications. The Virtual Assistant is able to provide answers by referencing the User Reference guide.",Jan-24,a)�Purchased from a vendor,Palantir,Yes,ACF Discover,RAG implementation using commercially-available LLMs and the latest ACF Discover user reference guide.,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above,Yes,N/A,,,,,,,,,
Policy Knowledge Base Data Migration,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualitative Analysis,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Natural Language Processing (NLP),"How can thematic coding and trend analysis across qualitative data be done more efficiently?
ACF staff often conduct surveys and interviews, which generate qualitative data that needs to be analyzed for themes and trends. The standard approach involves multiple human passes of labeling the data for analysis, which is very time-intensive.",Faster initial labeling of qualitative data that human reviewers are then able to correct and iterate from,"ACF employees have several tools available to them to support qualitative analysis. Typically the tools are asked to assist with one of the following scenarios:
- Take a user-provided list of topics and text passages to initially categorize passages by topic(s)
- Suggest potential categories for organizing text passages
- Identify thematic trends across a corpus of narrative data
- Conduct sentiment analysis",Mar-23,a)�Purchased from a vendor,"Lumivero, Qualtrics, Credal, Ask Sage",Yes,"NVivo, Qualtrics, Credal, Ask Sage (decommissioned)",RAG implementation using commercially-available LLMs and user-provided narrative data,N/A,Yes,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Intakes Referral Parser,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training and Technical Assistance (TTA) GenAI Chatbot,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funding Opportunity Redundancy Analysis,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unaccompanied Child Sponsor Identity Verification,HHS/ACF,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,a) High-impact ,,Government Benefits Processing,Computer Vision,"How can ACF strengthen sponsor identity verification to reduce fraudulent sponsor applications?
Throughout the process of sponsor vetting, there are various touchpoints where the identity of the sponsor is critical to ensuring a child will be placed with a safe guardian. Knowing that the person (sponsor, household adult) is who they claim to be and that the person presenting at different points of the sponsor application process is consistently the person who was vetted is essential to ensure the welfare of a child.","Increased certainty that the adults applying to sponsor/care for a child release from ORR care are who they claim to be, so that they may be properly vetted in providing a safe environment for children post-release. ",Confirmation that person A is person A at all touchpoints of the sponsor vetting process.,,,,,,,,,,,,,,,,,,,,,
Head Start Correspondence Categorizer,HHS/ACF,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Agentic AI,"How can regional management and program specialists with large grant workloads keep track of all the correspondence being received by staff in their regional offices?
The Office of Head Start's (OHS) program specialists receive correspondence through the Head Start Enterprise System (HSES) for a variety of topics. Many of the requests, questions, and reports are tracked to completion in another system that has more robust alerting and workflow management capabilities. OHS is automating the data transfer between these two systems, introducing a data processing step that helps categorize correspondence.
","More efficient tracking of correspondence.
The AI categorization of correspondence can help managers and program specialists more quickly identify correspondence that require more immediate action.",#NAME?,,,,,,,,,,,,,,,,,,,,,
Builder Buddy,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Agentic AI,"How can ACF staff more readily develop their own tailored virtual assistants on our enterprise genAI platform?
ACF's enterprise generative AI platform gives users the tools to create their own tailored virtual ""agents"" to assist with more specialized tasks specific to a user's work. Users do not need to code to build these virtual assistants but do have to provide adequate context and instructions. Builder Buddy lets users draft a virtual assistant through describing their needs and providing context in a natural conversational manner as an alternative to a form-based builder interface.","More ACF staff feel empowered and equipped to configure their own tailored virtual assistants, increasing the usefulness of LLMs beyond basic chat
Tailored virtual assistants allow ACF staff to leverage LLMs in repeated workflows, reducing administrative burden and allowing staff to focus on higher-order analysis.",Draft virtual assistant configurations that users then further test and iterative on before deployment.,May-25,a)�Purchased from a vendor,Credal,Yes,ACF Credal,N/A,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Document Review for Alignment with Executive Orders: Position Descriptions,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,"How can ACF identify position descriptions that may need to be adjusted for alignment with recent executive orders?
ACF needed to conduct an audit across position descriptions in accordance with HHS Secretarial Directives related to recent executive orders such as Executive Order 14151 ""Ending Radical and Wasteful Government DEI Programs and Preferencing"" and Executive Order 14168 ""Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government"".","Increased efficiency of review, with reduced administrative burden on staff
Staff were able to focus time more effectively by using AI to support the flagging of potential affected position descriptions.","Initial list of position descriptions for further review, validation, and adjustments as applicable by ACF's team.
AI was not used to make any final determinations. It was leveraged to more effectively identify position descriptions that may require revision.",Mar-25,c) Developed with both contracting and in-house resources,Palantir,Yes,ACF Upstream,RAG implementation using commercially-available LLMs and user-provided position descriptions,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Document Review for Alignment with Executive Orders: Grant Materials,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Generative AI,"How can ACF identify grants that may need to be reviewed for alignment with recent executive orders?
ACF needed to conduct an audit across existing grants and new grant applications in accordance with HHS Secretarial Directives related to recent executive orders such as Executive Order 14151 ""Ending Radical and Wasteful Government DEI Programs and Preferencing"" and Executive Order 14168 ""Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government"".","Increased efficiency of review, with reduced administrative burden on staff
To increase the efficiency of the executive order alignment review, ACF is leveraging an AI-based process that reviews application submission files and generates initial flags and priorities for discussion, which are then routed to ACF Program Office staff for final review, justification, and recommendation.","List of grants for program staff to review, with an initial assessment of compliance against executive orders and example passages from the grant materials for flagged grants.
Staff are only able to view grants associated with their program office. In addition to the short summary of the results from our AI processing, staff are presented with links to associated grant files to reference while doing their review and making grant compliance assessments.",Mar-25,c) Developed with both contracting and in-house resources,"Palantir, Credal",Yes,"ACF Upstream, ACF Credal",RAG implementation using commercially-available LLMs and user-provided grant materials,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Grant management support: structuring information in applications,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Agentic AI,"How can ACF staff more efficiently review grant applications that have non-standardized formats?
Grant applications for ACF-funded programs can come in different formats, even when a standard set of questions or template is provided. ACF staff evaluating applications look for explanation and details to assess against pre-established evaluation criteria. Going back-and-forth across an application to find the relevant explanation can be time intensive, especially for applications that include multiple documents spanning 50+ pages.",Increased efficiency of review so that more time can be spent on grant application analysis and evaluation,"Varies, depending on the program office. Outputs generally involve summarizing information, extracting key information into a specific format, flagging potential gaps or inconsistencies, and providing citations / page numbers to support follow-up review and validation.
In all cases, AI is only used to support review of grant applications but does not make any final determinations for awards.",Jul-25,c) Developed with both contracting and in-house resources,"Palantir, Credal",Yes,"ACF Upstream, ACF Credal",RAG implementation using commercially-available LLMs and user-provided grant applications,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Acquisition support: co-drafting acquisition packages,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Procurement & Financial Management,Generative AI,"How can ACF acquisition teams more efficiently draft acquisition packages?
In addition to tailored performance work statements (PWS), acquisition packages include multiple documents that often require information based on the PWS. There are also instances where a recompete is issued that largely follows a previous contract, with some updates to volumes. Different contract awarding agencies have different formats. ACF's acquisition teams therefore commonly need to repackage information.",Increased efficiency in preparing acquisition packages so that more time is spent on the substance of scoping contracts and less time on rote drafting,"Draft language for various parts of an acquisition package based on user-provided context and direction.
For instance, based on a provided set of task narratives, a user may ask a large language model to draft the table of deliverables. Based on a draft set of requirements, a user may ask the large language model to provide an initial suggestion for organizing tasks. Based on a copy of a previous modification memo and an executed contract, a user may ask a large language model to draft a new modification memo to exercise the next option year.",Dec-24,c) Developed with both contracting and in-house resources,"Credal, Ask Sage, Microsoft",Yes,"ACF Credal, Ask Sage (decommissioned), Microsoft Copilot Chat",RAG implementation using commercially-available LLMs and user-provided context on acquisition needs,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
Acquisition support: assisting reviews and co-drafting technical evaluation documents,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Procurement & Financial Management,Generative AI,"How can ACF teams more efficiently review contract proposals and summarize technical evaluation discussions?
In response to Requests for Information and Requests for Proposals, ACF teams receive responses from interested vendors. In the review process, ACF staff need to provide summarized comments for each response on potential suitability for delivering the work. These summaries are based on individual and group review against pre-established criteria. When there is a high volume of vendor responses, review teams have many summaries to write.","Increased efficiency in drafting technical evaluation documents, so that more time is spent on review and analysis and less time is spent on ""blank screen syndrome""","Draft language for technical evaluation documents, based on user-provided context, direction, analysis, and examples.
For example, the user may provide a statement on why they assess a proposal to be unsuitable based on the evaluation criteria, and then leverage the AI tool to draft language to pull and format specific examples with page citations from the proposal.
AI is only used to draft language and make it easier to find relevant passages in proposal materials. AI is not used to make final determinations. The technical evaluators review and revise as needed all AI-drafted language, verifying accuracy of any cited excerpts.",Jul-25,c) Developed with both contracting and in-house resources,"Credal, Ask Sage, Microsoft",Yes,"ACF Credal, Ask Sage (decommissioned), Microsoft Copilot Chat",RAG implementation using commercially-available LLMs and received capability statements,N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above, No,N/A,,,,,,,,,
AHRQ Search,HHS/AHRQ/CQuIPS,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Classical/Predictive Machine Learning,"Organization wide search that includes Relevancy Tailoring, Auto-generation Synonyms, Automated Suggestions, Suggested Related Content, Auto Tagging, and ""Did you mean?"" to allow visitors to find specific content.
This AI use case enhances our agency's efficiency and user experience by optimizing search results, auto-completing queries, suggesting relevant searches and content tags, as well as proposing spelling corrections. ","This AI use case aims to optimize search results by adjusting their ranking, ensuring that the most pertinent information is displayed at the top. It also enhances search effectiveness by adding synonyms to queries behind the scenes. It further improves user experience by auto-completing queries as they are being typed, and showing related searches that might offer additional valuable insights. The system also proposes content tags automatically, leveraging machine learning to assess existing content tagging patterns. Additionally, it suggests spelling corrections and reformats search queries based on data from Google Analytics.","This AI use case aims to optimize search results by adjusting their ranking, ensuring that the most pertinent information is displayed at the top. It also enhances search effectiveness by adding synonyms to queries behind the scenes. It further improves user experience by auto-completing queries as they are being typed, and showing related searches that might offer additional valuable insights. The system also proposes content tags automatically, leveraging machine learning to assess existing content tagging patterns. Additionally, it suggests spelling corrections and reformats search queries based on data from Google Analytics.",Sep-19,c) Developed with both contracting and in-house resources,RIVA Solutions,Yes,ahrq.gov,Website Data,, No,,k) None of the above,Yes,,,,,,,,,,
Chatbot,HHS/AHRQ/CQuIPS,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatbot,HHS/AHRQ/CQuIPS,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhancing Diversity in Peer Review - Pilot,HHS/AHRQ/OEREP,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
